Ev,Ho,Nap,Ora,Perc,Ws,Wd
2022,12,1,11,42,2.2,68
2022,12,1,11,43,1.2,112
2022,12,1,11,44,1.3,51
2022,12,1,11,45,2.2,91
2022,12,1,11,46,3,103
2022,12,1,11,47,2.1,105
2022,12,1,11,48,2.8,109
2022,12,1,11,49,2.1,101
2022,12,1,11,50,2.2,137
2022,12,1,11,51,3.8,119
2022,12,1,11,52,2.8,107
2022,12,1,11,53,2.1,103
2022,12,1,11,54,2.3,114
2022,12,1,11,55,2.7,128
2022,12,1,11,56,1.9,116
2022,12,1,11,57,2.2,114
2022,12,1,11,58,1.8,92
2022,12,1,11,59,2.5,86
2022,12,1,12,0,1.9,80
2022,12,1,12,1,1.8,73
2022,12,1,12,2,1.6,100
2022,12,1,12,3,2.4,76
2022,12,1,12,4,2.1,87
2022,12,1,12,5,2.2,89
2022,12,1,12,6,1.2,66
2022,12,1,12,7,1.3,85
2022,12,1,12,8,2.2,84
2022,12,1,12,9,2.8,92
2022,12,1,12,10,1.9,87
2022,12,1,12,11,1.6,88
2022,12,1,12,12,2.4,122
2022,12,1,12,13,1.9,108
2022,12,1,12,14,1.5,117
2022,12,1,12,15,2.3,111
2022,12,1,12,16,2.4,130
2022,12,1,12,17,2.7,102
2022,12,1,12,18,2.1,99
2022,12,1,12,19,2.4,103
2022,12,1,12,20,1.9,94
2022,12,1,12,21,1.7,96
2022,12,1,12,22,2,113
2022,12,1,12,23,1.5,91
2022,12,1,12,24,1.5,70
2022,12,1,12,25,2.6,89
2022,12,1,12,26,2.1,92
2022,12,1,12,27,2.2,101
2022,12,1,12,28,1.9,98
2022,12,1,12,29,1.9,114
2022,12,1,12,30,1.6,80
2022,12,1,12,31,1.1,102
2022,12,1,12,32,2.6,107
2022,12,1,12,33,2.9,106
2022,12,1,12,34,3.2,112
2022,12,1,12,35,2.4,117
2022,12,1,12,36,2.9,119
2022,12,1,12,37,1.9,120
2022,12,1,12,38,2.8,
2022,12,1,12,39,2.8,105
2022,12,1,12,40,3.5,111
2022,12,1,12,41,3.1,107
2022,12,1,12,42,1.6,69
2022,12,1,12,43,2.7,78
2022,12,1,12,44,2.1,71
2022,12,1,12,45,1.4,80
2022,12,1,12,46,2.3,104
2022,12,1,12,47,3.6,110
2022,12,1,12,48,3,110
2022,12,1,12,49,2.4,100
2022,12,1,12,50,2.3,84
2022,12,1,12,51,2.7,91
2022,12,1,12,52,2.4,85
2022,12,1,12,53,2.7,102
2022,12,1,12,54,1.7,94
2022,12,1,12,55,1.6,75
2022,12,1,12,56,2.6,55
2022,12,1,12,57,1.7,59
2022,12,1,12,58,1,42
2022,12,1,12,59,1.3,81
2022,12,1,13,0,1.7,76
2022,12,1,13,1,1.5,65
2022,12,1,13,2,1.4,42
2022,12,1,13,3,0.5,29
2022,12,1,13,4,1.1,101
2022,12,1,13,5,0.9,93
2022,12,1,13,6,2.2,79
2022,12,1,13,7,2.2,99
2022,12,1,13,8,2.2,
2022,12,1,13,9,2.2,127
2022,12,1,13,10,2.7,108
2022,12,1,13,11,1.4,98
2022,12,1,13,12,1.6,101
2022,12,1,13,13,2.7,107
2022,12,1,13,14,2.4,126
2022,12,1,13,15,2.1,115
2022,12,1,13,16,2.5,121
2022,12,1,13,17,0.9,89
2022,12,1,13,18,2,87
2022,12,1,13,19,2.3,80
2022,12,1,13,20,2.2,64
2022,12,1,13,21,2.4,86
2022,12,1,13,22,1.4,80
2022,12,1,13,23,2.1,108
2022,12,1,13,24,1,
2022,12,1,13,25,1.1,104
2022,12,1,13,26,1.4,88
2022,12,1,13,27,1.1,87
2022,12,1,13,28,0.8,90
2022,12,1,13,29,1.3,75
2022,12,1,13,30,1.4,80
2022,12,1,13,31,2.3,107
2022,12,1,13,32,1.6,87
2022,12,1,13,33,2.6,101
2022,12,1,13,34,2.1,105
2022,12,1,13,35,1.8,65
2022,12,1,13,36,2.8,61
2022,12,1,13,37,1.6,60
2022,12,1,13,38,2.1,82
2022,12,1,13,39,1.8,53
2022,12,1,13,40,1.4,58
2022,12,1,13,41,1.1,99
2022,12,1,13,42,1.3,96
